id;project_code;project_name;objective;work_plan;kra;output;evaluation;budget;head_off_project;start_date;end_date;target_audience;overview_about_project
1;d4399000-3db6-481d-b7f8-93070fba9560;Checking Account Engineer;exploit system e-services;synthesize;Sleek redefine digital;Pre-emptive;Guadeloupe invoice;21605;SMTP Berkshire Alley;2019-12-31;2019-12-31;robust solution;mobile
2;08b64337-af1c-4d52-a71a-8bb07f2d38b8;Tennessee iterate Intelligent;Codes specifically reserved for testing purposes cohesive;Optional Assurance Faroe Islands;technologies International South Dakota;Interactions;back-end;30264;violet;2019-12-30;2019-12-30;back-end;product
3;db3cb7b4-10e2-41da-a7c2-2df6f86a3fa4;synthesizing Small Rubber Soap;Zloty;Directives world-class;invoice Borders Bedfordshire;Analyst Corporate Plastic;mint green matrix Throughway;14073;calculating Liaison back-end;2019-12-31;2019-12-31;Wooden;Program Awesome
4;34167e29-c793-4316-97ae-ae6c49f7c2ab;mission-critical Saint Helena Bedfordshire;Officer exuding PCI;Saudi Arabia Technician;ADP;eco-centric;conglomeration;7791;system Avon;2019-12-30;2019-12-31;Refined Hat Haiti;Handmade Handcrafted
5;251f763a-56c7-4338-848b-2ede2fad39e3;Computer ADP;Investment Account invoice SMTP;next generation withdrawal;Ball;New Jersey payment Designer;Fantastic Ridge Fully-configurable;60808;Buckinghamshire Strategist Fantastic;2019-12-31;2019-12-31;payment Electronics;Money Market Account Soap
6;2457d429-49b5-4114-b2d8-44f1b8d77ae3;Practical Frozen Gloves;Burundi Franc Developer Iranian Rial;4th generation Incredible;pixel Gorgeous Frozen Ball;Director deploy copying;bus Jewelery vortals;59392;Landing vortals;2019-12-30;2019-12-30;Supervisor Tasty Frozen Shoes front-end;Wooden Licensed Alabama
7;323968cd-cd7c-4778-9e82-c08db3426379;Regional Naira Savings Account;Garden synthesize olive;AI Awesome;Ports;extend Checking Account;reinvent;69832;Executive Savings Account deploy;2019-12-31;2019-12-30;Unbranded;blue
8;681c8710-5358-499c-9af4-bbdf17e889dc;strategize;Savings Account overriding;Borders deploy;Kyat Infrastructure CFP Franc;installation;invoice Fresh;68758;Squares Ville View;2019-12-30;2019-12-31;Oregon Beauty withdrawal;Licensed Engineer time-frame
9;39ba8af8-848f-4d4b-82ad-d1c12e4390ab;Industrial Cotton;recontextualize deposit gold;innovative;Computer Small matrix;Representative;copy Switzerland viral;73964;synergies applications;2019-12-31;2019-12-30;Toys;Fantastic Architect haptic
10;17be3170-b269-443d-a976-311aab439f5d;synergy Principal;solid state Tunnel Director;Libyan Arab Jamahiriya Borders;Ergonomic Rubber Ball Angola;turquoise Fantastic;THX;29283;Interactions;2019-12-30;2019-12-30;Turkish Lira Quality;Baby Lead Connecticut
